"과속방지턱관리번호",시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로유형구분,규격여부,위도,경도,보차분리여부,연속형여부,과속방지턱설치연도,관리기관명,관리기관전화번호,데이터기준일자
1,경기도,오산시,가수로,,경기도 오산시 가수동 29-1,의성교회 앞,1,1,10,360,400,1,Y,37.1475011,127.0464181,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
2,경기도,오산시,가수로,,경기도 오산시 가수동 32-1,가수초 앞,1,1,10,360,1400,1,Y,37.1474715,127.0472931,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
3,경기도,오산시,가수로,,경기도 오산시 가수동 13-2,늘푸른오스카빌 107동 앞,1,1,10,360,300,1,Y,37.1474258,127.0488071,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
4,경기도,오산시,가수로,,경기도 오산시 가수동 13-6,늘푸른마트 옆,4,1,10,360,700,1,Y,37.1465584,127.0490964,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
5,경기도,오산시,가수로,,경기도 오산시 가수동 48-4,오산초 부근,1,1,10,360,1100,1,Y,37.14561907,127.0492055,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
6,경기도,오산시,가수로,,경기도 오산시 가수동 72-3,오산초 부근,1,1,10,360,1100,1,Y,37.1447225,127.0492331,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
7,경기도,오산시,가수로,,경기도 오산시 가수동 70-3,오산초 부근,1,1,10,360,1100,1,Y,37.1444161,127.0492469,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
8,경기도,오산시,가수로,,경기도 오산시 가수동 398,늘푸른오스카빌아파트,1,1,10,360,500,2,Y,37.1471091,127.0467892,Y,Y,,경기도 오산시청,031-8036-7702,2021-01-09
9,경기도,오산시,가수로,,경기도 오산시 가수동 398,늘푸른오스카빌아파트,1,1,10,360,500,2,Y,37.1470842,127.0467892,Y,Y,,경기도 오산시청,031-8036-7702,2021-01-09
10,경기도,오산시,가수로,,경기도 오산시 가수동 398,늘푸른오스카빌아파트,1,1,10,360,800,1,Y,37.146557,127.0469943,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
11,경기도,오산시,가수로,,경기도 오산시 가수동 398,늘푸른오스카빌아파트,1,1,10,360,800,1,Y,37.1465677,127.0483647,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
12,경기도,오산시,가수로,,경기도 오산시 가수동 398,늘푸른오스카빌아파트,1,1,10,360,800,1,Y,37.14656537,127.0487709,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
13,경기도,오산시,가수로,,경기도 오산시 가수동 398,늘푸른오스카빌아파트,1,1,10,360,600,1,Y,37.14560247,127.0482178,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
14,경기도,오산시,가수로,,경기도 오산시 가수동 113,가수주공아파트,1,1,10,360,400,2,Y,37.1461817,127.0503624,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
15,경기도,오산시,가수로,,경기도 오산시 가수동 113,가수주공아파트,1,1,10,360,400,2,Y,37.1459541,127.0505846,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
16,경기도,오산시,가수로,,경기도 오산시 가수동 113,가수주공아파트,1,1,10,360,400,2,Y,37.1457648,127.0508434,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
17,경기도,오산시,가수로,,경기도 오산시 가수동 393-7,가수주공아파트 부근,1,1,10,360,600,1,Y,37.1462689,127.0519017,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
18,경기도,오산시,가수로,,경기도 오산시 가수동 106-1,가수주공아파트,1,1,10,360,800,1,Y,37.1457915,127.0514596,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
19,경기도,오산시,가수로,,경기도 오산시 가수동 106-1,가수주공아파트,1,1,10,360,800,1,Y,37.14578686,127.0519352,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
20,경기도,오산시,가수로,,경기도 오산시 가수동 106-1,가수주공아파트,1,1,10,360,600,1,Y,37.1457865,127.0526668,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
21,경기도,오산시,가수행복로,,경기도 오산시 가수동 241,오산세교2 LH12단지 아파트 입구,4,1,10,360,600,1,Y,37.1461643,127.0587819,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
22,경기도,오산시,황새로,,경기도 오산시 가수동 372-1,대림제지 부근,1,1,10,360,600,1,Y,37.1422141,127.0615674,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
23,경기도,오산시,황새로,,경기도 오산시 가수동 372-1,LG이노텍 앞,1,1,10,360,600,1,Y,37.1436849,127.0616615,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
